PID   name            heapStartingSize heapMaximumSize heapGrowthLimit stackSize  tableSize  numDeadEntries  numEntries     
----- --------------- ---------------- --------------- --------------- ---------- ---------- --------------- ---------------
len(): 1
start: 1081974784 end: 1081995264
   40 zygote                   4194304        33554432        33554432      16384       8192               0            2714
   42 mediaserver     ---------------- --------------- --------------- ---------- ---------- --------------- ---------------
  292 system_server            4194304        33554432        33554432      16384       8192               0            4028
  425 putmethod.latin          4194304        33554432        33554432      16384       8192               0            2930
  440 m.android.phone          4194304        33554432        33554432      16384       8192               0            3089
  455 ndroid.settings          4194304        33554432        33554432      16384       8192               0            2801
  509 d.process.acore          4194304        33554432        33554432      16384       8192               0            2849
  533 ndroid.launcher          4194304        33554432        33554432      16384       8192               0            3005
  577 .quicksearchbox          4194304        33554432        33554432      16384       8192               0            2746
  602 ndroid.contacts          4194304        33554432        33554432      16384       8192               0            3093
  625 .location.fused ---------------- --------------- --------------- ---------- ---------- --------------- ---------------
  644 com.android.mms          4194304        33554432        33554432      16384       8192               0            3092
  695 ndroid.systemui          4194304        33554432        33554432      16384       8192               0            3076
  723 ndroid.exchange          4194304        33554432        33554432      16384       8192               0            2760
  994 android:ui               4194304        33554432        33554432      16384       8192               0            2741
 1049 id.defcontainer          4194304        33554432        33554432      16384       8192               0            2743
 1064 com.svox.pico            4194304        33554432        33554432      16384       8192               0            2726
 1084 crime.securesms          4194304        33554432        33554432      16384       8192               0            3086
